id,name,email,specialization,currentActivity
0,Soumyo,soumyo@test.com,Club Member,activityDiatech1
1,Supervisor1,supervisor1@spam.com,Teacher,RAct1
2,Supervisor2,supervisor2@spam.com,Teacher,act1
3,Supervisor3,supervisor3@spam.com,Teacher,ActivityDiathech2
4,Supervisor4,supervisor4@spam.com,Teacher,testA
5,Supervisor5,supervisor5@spam.com,Assistant,None
6,Supervisor1,supervisor1@spam.com,Teacher,testact2
7,Supervisor2,supervisor2@spam.com,Teacher,None
8,Soumyo,soumyo@test.com,Assistant,None
9,SuperVisorSoumyo,SupervisorSoumyo@spam.com,Club Member,None
10,testSupervisor1,testSupervisor1@gmail.com,Club Member,None
11,supervisortest123,supervisortest123@gmail.com,Assistant,None
12,Stest,Stest@gmail.com,Assistant,None
13,RStuper1,Rsuper1@gmail.com,Club Member,None
